873;0;
872;0-(72);
863;0-(74);
798;0/1;
752;0\2-3;
171;0-1;
753;0-1/3;
537;0-1/3-4;
808;0-1/4-5;
725;0-1\2-3;
733;0-1\5-6;
912;0-12;
520;0-2;
887;0-24;
216;0-3;
223;0-6;
421;08;
433;08-10;
224;0-9;
114;1;
864;1-(84);
377;1,5;
249;1,5-2;
121;10;
652;10;
447;100;
800;100*100;
154;10-11;
1070;10-11/11-12;
1256;10-11/11-12/12-13/13-14/1;
526;10-11/12-13;
748;10-11/14-15;
495;10-11\13-14;
717;10-11\14-15;
902;10-11\16-17;
225;10-12;
401;10-13;
409;10-14;
704;10-16;
2;102;
122;104;
177;104-110;
277;104-110;
432;104-112;
334;104-116;
596;104-122;
534;104-128;
920;104-134;
183;108-113;
201;11;
869;11-(146);
228;1-1,5;
1252;1-1.5/3-4;
3;110;
233;110;
146;110-116;
269;110-116;
394;110-122;
530;110-128;
769;110-134;
235;110-140;
923;110-150;
178;11-12;
1259;11-12\12-13;
716;11-12\13-14;
1049;11-12\14-15;
718;11-12\15-16;
1264;11-12-13-14-15;
458;11-13;
703;11-14;
11;11-15;
1042;11-16;
1052;11-19;
360;112-120;
191;112-124;
4;114;
148;116;
167;116;
234;116;
727;116\122-152\156;
194;116-122;
804;116-122\128-134;
604;116-122\134-140;
218;116-128;
515;116-134;
532;116-140;
810;116-146;
915;116-158;
891;116-164;
163;118;
134;12;
172;1-2;
1253;1-2/2-3/3-4/4-5/5-6;
570;1-2/3-4;
1266;1-2/3-4/5-6/7-8;
486;1-2/4-5;
1033;1-2/4-6;
862;1-2/5-6;
973;1-2/6-7;
568;1-2/7-8;
587;1-2\2-3;
260;120;
434;120-128;
1055;120-150;
911;120-160;
184;12-13;
1036;12-13/13-14;
799;12-13/14-15;
584;12-13/15-16;
226;12-14;
437;12-15;
607;12-16;
307;12-18;
538;12-18/5-6;
5;122;
256;122;
147;122-128;
850;122-134;
492;122-140;
613;122-146;
765;122-152;
888;122-158;
842;122-164;
625;124;
190;124-136;
1032;126-144;
6;128;
248;128;
263;128-134;
1262;128-134-140-146-152;
195;128-135;
335;128-140;
1096;128-140/152-164;
894;128-146;
525;128-152;
785;128-152;
813;128-158;
786;128-164;
726;128-176;
202;13;
230;1-3;
439;1-3;
870;13-(158);
259;130;
964;130-150;
877;130-162;
155;13-14;
1060;13-14\15-16;
417;13-15;
325;13-16;
759;13-18;
624;132;
158;134;
247;134;
159;134-140;
1028;134-140/146-152;
770;134-140/152-158;
527;134-146;
463;134-152;
521;134-158;
814;134-164;
1025;134-170;
773;134-176;
196;135-140;
623;136;
189;136-146;
133;14;
287;1-4;
7;140;
255;140;
185;140-146;
603;140-146\158-164;
1204;140-146-152-158;
336;140-152;
582;140-158;
605;140-164;
878;140-170;
514;140-176;
512;14-12;
220;14-15;
1047;14-15\15-16;
227;14-16;
1050;14-19;
620;144;
162;146;
160;146-152;
188;146-156;
843;146-158;
802;146-164;
947;146-172;
656;146-176;
621;148;
203;15;
586;1-5;
258;150;
208;15-16;
8;152;
397;152-157;
186;152-158;
337;152-164;
954;152-170;
531;152-176;
622;156;
187;156-162;
9;158;
161;158-164;
1027;158-170;
655;158-176;
175;16;
599;1-6;
257;160;
1056;160-170;
490;16-17;
270;16-18;
450;162;
398;162-167;
169;164;
276;164-170;
699;164-176;
451;168;
206;17;
1268;1-7;
168;170;
193;170-176;
209;17-18;
170;176;
314;176-182;
132;18;
747;1-8;
452;182;
212;18-20;
376;18-23;
405;18-24;
1029;18-36;
210;19;
115;2;
139;20;
135;20-22;
921;20-25;
207;21;
1057;2-10;
140;22;
211;22-24;
997;22-36;
995;22-44;
996;22-44;
648;23;
149;2-3;
518;2-3/3-4;
577;2-3/4-5;
1166;2-3/4-5/5-7/7-9;
485;2-3/5-6;
771;2-3/6-7;
1127;2-3/7-9;
903;2-3\10-11;
597;2-3\7-8;
901;2-3\8-9;
1069;23-25;
136;24;
213;2-4;
829;24-25/28-29;
977;24-26;
660;24-32;
406;24-36;
649;25;
528;2-5;
124;26;
823;2-6;
1125;26.28;
412;26-30;
922;26-31;
701;27;
608;2-7;
126;28;
904;2-8;
1007;28,32;
966;28,34;
827;28-29/32-33;
476;28-30;
478;28-34;
609;28-36;
946;28-38;
661;28-44;
913;2-9;
1068;29-31;
116;3;
865;3-(94);
125;30;
679;30-31;
828;30-31/34-35;
404;30-32;
766;3-10;
837;3-10;
123;32;
988;32,34,36;
680;32-33;
477;32-36;
792;32-40;
128;34;
164;3-4;
1124;34.36;
1257;3-4/4-5/5-6/6-7/7-8;
751;3-4/9-10;
945;3-4\4-5;
588;3-4\5-6;
493;3-4\6-7;
732;3-4\7-8;
1030;3-4\8-9;
681;34-35;
232;3-5;
1167;3-5/5-7/7-9/10-12;
1114;3-5\10-12;
731;3-5\7-9;
729;3-5\8-10;
103;36;
130;36;
219;3-6;
682;36-37;
399;36-40;
807;36-42;
602;36-44;
825;36-46;
659;36-48;
571;3-7;
127;38;
821;3-8;
836;3-8;
315;38-42;
611;38-44;
1039;38-46;
117;4;
908;4\7-8;
906;4\8-9;
97;40;
129;40;
960;40-42;
400;40-44;
794;40-46;
705;40-48;
809;40-50;
1054;4-10;
1009;4-12;
1053;4-14;
131;42;
793;42-44;
925;42-50;
94;44;
961;44-46;
150;4-5;
1005;4-5/11-12;
536;4-5/6-7;
529;4-5/7-8;
585;4-5/9-10;
579;4-5\5-6;
601;4-5\8-9;
106;46;
214;4-6;
801;4-6\8-9;
962;46-48;
1192;4-6-8-10-12;
